0,-0.07055016
1,0.8236583
2,1.060745
4,1.844812
5,2.489412
18,3.157306
31,3.825028
44,4.268456
57,4.727804
71,4.973734
84,5.235051
97,5.492324
110,5.709599
123,5.90519
136,6.003449
149,6.102984
162,6.156598
175,6.236955
188,6.380731
202,6.496367
215,6.707954
228,6.702864
241,6.670564
254,6.809704
267,6.807147
280,6.756207
293,6.933717
307,7.145467
320,6.966526
333,7.343079
346,7.018349
359,7.109585
372,6.905576
385,7.272576
398,7.156236
411,7.202407
425,7.398109
438,7.374618
451,7.489833
464,7.445441
477,7.404482
490,7.416478
503,7.254357
516,7.568813
530,7.434306
543,7.501599
556,7.256596
569,7.320977
582,7.416025
595,7.342701
608,7.619393
621,7.552151
634,7.438183
648,7.27894
661,7.422888
674,7.584963
687,7.617837
700,7.581058
713,7.619822
726,7.482539
739,7.367904
752,7.52027
766,7.506188
779,7.474629
792,7.61419
805,7.646784
818,7.574238
831,7.584168
844,7.737039
857,7.504444
871,7.534922
884,7.623952
897,7.629694
910,7.642302
923,7.713143
936,7.670762
949,7.688675
962,7.531125
975,7.657412
989,7.582583
1002,7.568213
1015,7.85181
1028,7.6521
1041,7.567152
1054,7.722669
1067,7.633477
1080,7.896105
1093,7.723609
1107,7.722682
1120,7.794083
1133,7.813678
1146,7.746984
1159,7.651162
1172,7.663312
1185,7.472777
1198,7.600497
1211,7.351694
1225,7.740391
1238,7.886064
1251,7.575305
1264,7.731451
1277,7.618602
1290,7.635672
1303,7.697892
1316,7.495582
